Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Concrete Pots (product.metafields.custom.concrete_pots),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Color (product.metafields.shopify.color-pattern),Plant support material (product.metafields.shopify.plant-support-material),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
premium-delia-plant-pot,,,,,,,,,Small | 640mm X 240mm,,,Granite Sealed,,,With Pot Feet,,,0.0,shopify,continue,manual,690.07,579.84,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1601/8853/files/premium-delia-plant-pot-the-pot-shack-concrete-pot-south-africa-40067007348965.png?v=1693471793,kg,,220.00,
premium-delia-plant-pot,,,,,,,,,Small | 640mm X 240mm,,,Rock,,,Standard,,B616370,0.0,shopify,continue,manual,608.83,579.84,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1601/8853/files/premium-delia-plant-pot-the-pot-shack-concrete-pot-south-africa-40067007316197.png?v=1693472155,kg,,220.00,
premium-delia-plant-pot,,,,,,,,,Small | 640mm X 240mm,,,Rock,,,With Tray,,,0.0,shopify,continue,manual,924.67,579.84,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1601/8853/files/premium-delia-plant-pot-the-pot-shack-concrete-pot-south-africa-40067007316197.png?v=1693472155,kg,,220.00,
premium-delia-plant-pot,,,,,,,,,Small | 640mm X 240mm,,,Rock,,,With Pot Feet,,,0.0,shopify,continue,manual,690.07,579.84,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1601/8853/files/premium-delia-plant-pot-the-pot-shack-concrete-pot-south-africa-40067007316197.png?v=1693472155,kg,,220.00,
premium-delia-plant-pot,,,,,,,,,Small | 640mm X 240mm,,,Velvet,,,Standard,,B616370,0.0,shopify,continue,manual,608.83,579.84,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1601/8853/files/premium-delia-plant-pot-the-pot-shack-concrete-pot-south-africa-40067007480037.png?v=1693472509,kg,,220.00,
premium-delia-plant-pot,,,,,,,,,Small | 640mm X 240mm,,,Velvet,,,With Tray,,,0.0,shopify,continue,manual,924.67,579.84,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1601/8853/files/premium-delia-plant-pot-the-pot-shack-concrete-pot-south-africa-40067007480037.png?v=1693472509,kg,,220.00,
premium-delia-plant-pot,,,,,,,,,Small | 640mm X 240mm,,,Velvet,,,With Pot Feet,,,0.0,shopify,continue,manual,690.07,579.84,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1601/8853/files/premium-delia-plant-pot-the-pot-shack-concrete-pot-south-africa-40067007480037.png?v=1693472509,kg,,220.00,
premium-delia-plant-pot,,,,,,,,,Small | 640mm X 240mm,,,Chryso Black,,,Standard,,,0.0,shopify,continue,manual,608.83,579.84,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,220.00,
premium-delia-plant-pot,,,,,,,,,Small | 640mm X 240mm,,,Chryso Black,,,With Tray,,,0.0,shopify,continue,manual,608.83,579.84,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,220.00,
premium-delia-plant-pot,,,,,,,,,Small | 640mm X 240mm,,,Chryso Black,,,With Pot Feet,,,0.0,shopify,continue,manual,690.07,579.84,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,220.00,
premium-delia-plant-pot,,,,,,,,,Medium | 790mm X 440mm,,,Amper,,,Standard,,B616369,0.0,shopify,continue,manual,1304.62,1242.50,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1601/8853/files/premium-delia-plant-pot-the-pot-shack-concrete-pot-south-africa-40067007447269.png?v=1693472508,kg,,470.00,
premium-delia-plant-pot,,,,,,,,,Medium | 790mm X 440mm,,,Amper,,,With Tray,,,0.0,shopify,continue,manual,1755.81,1242.50,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1601/8853/files/premium-delia-plant-pot-the-pot-shack-concrete-pot-south-africa-40067007447269.png?v=1693472508,kg,,220.00,
premium-delia-plant-pot,,,,,,,,,Medium | 790mm X 440mm,,,Amper,,,With Pot Feet,,,0.0,shopify,continue,manual,1429.22,1242.50,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1601/8853/files/premium-delia-plant-pot-the-pot-shack-concrete-pot-south-africa-40067007447269.png?v=1693472508,kg,,220.00,
